Regulator	TargetGene
YKL112W	YDR384C
YKL112W	YGL229C
YKL112W	YGR142W
YKL112W	YHL028W
YKL112W	YHR087W
YKL112W	YJL063C
YKL112W	YKL015W
YKL112W	YKR009C
YKL112W	YLL033W
YKL112W	YLR178C
YKL112W	YLR267W
YKL112W	YNL036W
YKL112W	YNL037C
YKL112W	YNR046W
YKL112W	YNR064C
YKL112W	YOR056C
YKL112W	YPL012W
YKL112W	YPL036W
YKL112W	YBL042C
YKL112W	YGL254W
YKL112W	YKL040C
YKL112W	YMR280C
YKL112W	YER158C
YKL112W	YDR258C
YKL112W	YLR276C
YMR280C	YAL054C
YMR280C	YCR010C
YMR280C	YPL061W
YMR280C	YNL270C
YMR280C	YDR384C
YMR280C	YOR100C
YMR280C	YNL037C
YMR280C	YLR174W
YMR280C	YJL153C
YMR280C	YJL063C
YMR280C	YOR348C
YMR280C	YGL229C
YMR280C	YER067W
YMR280C	YGR067C
YMR280C	YNL194C
YMR280C	YBR054W
YMR280C	YER150W
YMR280C	YFL014W
YMR280C	YGR142W
YMR280C	YHR136C
YMR280C	YJR094C
YMR280C	YML123C
YMR280C	YMR229C
YMR280C	YMR280C
YMR280C	YNL036W
YMR280C	YNR028W
YMR280C	YOL014W
YMR280C	YOR388C
YOR032C	YCL064C
YOR032C	YCR021C
YOR032C	YDR171W
YOR032C	YDR523C
YOR032C	YGR142W
YOR032C	YIL037C
YOR032C	YJL217W
YOR032C	YNL036W
YOR032C	YOR032C
YOR032C	YOR388C
YOR032C	YPR002W
YOR032C	YMR193W
